[03-Apr-2020 02:27:20 UTC] PHP Warning:  include(sig1.php): failed to open stream: No such file or directory in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\yt.php on line 203
[03-Apr-2020 02:27:20 UTC] PHP Warning:  include(): Failed opening 'sig1.php' for inclusion (include_path='.;C:/Users/Nehuen/Desktop/UNLu/paw-123105/TP2/etc/php/pear') in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\yt.php on line 203
[03-Apr-2020 02:27:20 UTC] PHP Notice:  Undefined variable: a in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\yt.php on line 204
[03-Apr-2020 02:27:20 UTC] PHP Warning:  join(): Invalid arguments passed in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\yt.php on line 204
[03-Apr-2020 02:30:52 UTC] PHP Notice:  Undefined offset: 1 in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\yt.php on line 110
[03-Apr-2020 02:30:55 UTC] PHP Warning:  file_get_contents(https://www.youtube.com/yts/jsbin/player_ias/en_US/base.js): failed to open stream: HTTP request failed! HTTP/1.0 404 Not Found
 in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\yt.php on line 207
[03-Apr-2020 02:30:55 UTC] PHP Warning:  preg_match_all() expects parameter 2 to be string, array given in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\yt.php on line 130
[03-Apr-2020 02:30:56 UTC] PHP Warning:  include(sig1.php): failed to open stream: No such file or directory in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\yt.php on line 203
[03-Apr-2020 02:30:56 UTC] PHP Warning:  include(): Failed opening 'sig1.php' for inclusion (include_path='.;C:/Users/Nehuen/Desktop/UNLu/paw-123105/TP2/etc/php/pear') in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\yt.php on line 203
[03-Apr-2020 02:30:56 UTC] PHP Notice:  Undefined variable: a in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\yt.php on line 204
[03-Apr-2020 02:30:56 UTC] PHP Warning:  join(): Invalid arguments passed in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\yt.php on line 204
[03-Apr-2020 02:30:56 UTC] PHP Warning:  include(sig1.php): failed to open stream: No such file or directory in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\yt.php on line 203
[03-Apr-2020 02:30:56 UTC] PHP Warning:  include(): Failed opening 'sig1.php' for inclusion (include_path='.;C:/Users/Nehuen/Desktop/UNLu/paw-123105/TP2/etc/php/pear') in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\yt.php on line 203
[03-Apr-2020 02:30:56 UTC] PHP Notice:  Undefined variable: a in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\yt.php on line 204
[03-Apr-2020 02:30:56 UTC] PHP Warning:  join(): Invalid arguments passed in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\yt.php on line 204
[03-Apr-2020 02:30:56 UTC] PHP Warning:  include(sig1.php): failed to open stream: No such file or directory in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\yt.php on line 203
